recall_Recommend_article,recall_Content_surprise,recall_view_opinion,PID,treatment,article,study,topic_inv_drug_overdose_vlaue_opinion,topic_inv_defend_view_point_drugOverdose,topic_inv_learning_drug_overdose,topic_inv_motivation_gaining_knowledge,att_elic_drug_overdose_opinion_pre,att_elic_combat_drug_priority_pre,att_elic_opinion_on_drug_legalization_pre,att_elic_drug_overdose_opinion_post,att_elic_combat_drug_priority_post,att_elic_opinion_on_drug_legalization_post,gender,race,education,age,race-Comment,education-Comment,gender-Comment,survey_start,study_finish,study_duration,cogref_race,cogref_sheep,cogref_name,cogref_volume,cogref_Superbowl,exclude
Not at All,Moderately,Moderately,17618192af34,txt,population,two,Moderately,A lot,Extremely,Moderately,Moderate problem,Moderate Priority,Strongly Favor,Moderate problem,Moderate Priority,Strongly Favor,Woman,White/Caucasian/European,High School,23,,,,1679527176504.0,1679527757926.0,9.690366666666666,second,8,June,9,Football players are frustrated by the turf they had to play on in this year's Super Bowl. ,0
Not at All,A little,Moderately,17618192af34,txt,opioids,two,Moderately,A lot,Extremely,Moderately,Moderate problem,Moderate Priority,Strongly Favor,Moderate problem,Moderate Priority,Strongly Favor,Woman,White/Caucasian/European,High School,23,,,,1679527176504.0,1679527757926.0,9.690366666666666,second,8,June,9,Football players are frustrated by the turf they had to play on in this year's Super Bowl. ,0
Extremely,A lot,Extremely,9e757e2528fa,visual,drugOverdose,two,Moderately,Moderately,Moderately,Extremely,Extremely serious problem,High Priority,Somewhat Favor,Extremely serious problem,High Priority,Strongly Oppose,Woman,White/Caucasian/European,High School,55,,,,1679527177836.0,1679528135385.0,15.95915,2,8,June,27,The turf was a problem for sacks during the Super Bowl 2023.,0
Extremely,A lot,Extremely,9e757e2528fa,visual,population,two,Moderately,Moderately,Moderately,Extremely,Extremely serious problem,High Priority,Somewhat Favor,Extremely serious problem,High Priority,Strongly Oppose,Woman,White/Caucasian/European,High School,55,,,,1679527177836.0,1679528135385.0,15.95915,2,8,June,27,The turf was a problem for sacks during the Super Bowl 2023.,0
Extremely,Extremely,Extremely,9e757e2528fa,visual,opioids,two,Moderately,Moderately,Moderately,Extremely,Extremely serious problem,High Priority,Somewhat Favor,Extremely serious problem,High Priority,Strongly Oppose,Woman,White/Caucasian/European,High School,55,,,,1679527177836.0,1679528135385.0,15.95915,2,8,June,27,The turf was a problem for sacks during the Super Bowl 2023.,0
A lot,Extremely,Extremely,f378f5def703,control,drugOverdose,two,A lot,A lot,Extremely,Extremely,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Woman,White/Caucasian/European,High School,29,,,,1679527180820.0,1679528143220.0,16.04,Second,8,Emily,0,"While the Eagles players and coach said the field conditions weren't to blame for the outcome of the Super Bowl, it did impact how they played.",0
A lot,A lot,A lot,f378f5def703,control,population,two,A lot,A lot,Extremely,Extremely,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Woman,White/Caucasian/European,High School,29,,,,1679527180820.0,1679528143220.0,16.04,Second,8,Emily,0,"While the Eagles players and coach said the field conditions weren't to blame for the outcome of the Super Bowl, it did impact how they played.",0
Extremely,Extremely,Extremely,f378f5def703,control,opioids,two,A lot,A lot,Extremely,Extremely,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Woman,White/Caucasian/European,High School,29,,,,1679527180820.0,1679528143220.0,16.04,Second,8,Emily,0,"While the Eagles players and coach said the field conditions weren't to blame for the outcome of the Super Bowl, it did impact how they played.",0
Moderately,A lot,Moderately,33af08f4e749,visual,drugOverdose,two,Moderately,Moderately,Moderately,A lot,Serious problem,Moderate Priority,Neutral,serious problem,High Priority,Neutral,Woman,White/Caucasian/European,High School,29,,,,1679527182000.0,1679528776214.0,26.57023333333333,second,7,Emily,3,It is about the frustrations the Eagles had about their game against the Chiefs being that the field was hard to play on and they thought the NFL should have done better.,0
A little,Moderately,Moderately,33af08f4e749,visual,population,two,Moderately,Moderately,Moderately,A lot,Serious problem,Moderate Priority,Neutral,serious problem,High Priority,Neutral,Woman,White/Caucasian/European,High School,29,,,,1679527182000.0,1679528776214.0,26.57023333333333,second,7,Emily,3,It is about the frustrations the Eagles had about their game against the Chiefs being that the field was hard to play on and they thought the NFL should have done better.,0
Moderately,Moderately,Moderately,33af08f4e749,visual,opioids,two,Moderately,Moderately,Moderately,A lot,Serious problem,Moderate Priority,Neutral,serious problem,High Priority,Neutral,Woman,White/Caucasian/European,High School,29,,,,1679527182000.0,1679528776214.0,26.57023333333333,second,7,Emily,3,It is about the frustrations the Eagles had about their game against the Chiefs being that the field was hard to play on and they thought the NFL should have done better.,0
Moderately,Extremely,Extremely,178e825dfcd1,control,drugOverdose,two,Moderately,A little,Extremely,Extremely,Serious problem,Moderate Priority,Somewhat Favor,Extremely serious problem,High Priority,Strongly Favor,Woman,White/Caucasian/European,High School,31,,,,1679527183472.0,1679528171761.0,16.47148333333333,first,seven,June,27,The Chief's turf wasn't the reason why the Eagles didn't win but it didn't help the situation on why the Eagles didn't win.,0
A lot,Extremely,Extremely,178e825dfcd1,control,population,two,Moderately,A little,Extremely,Extremely,Serious problem,Moderate Priority,Somewhat Favor,Extremely serious problem,High Priority,Strongly Favor,Woman,White/Caucasian/European,High School,31,,,,1679527183472.0,1679528171761.0,16.47148333333333,first,seven,June,27,The Chief's turf wasn't the reason why the Eagles didn't win but it didn't help the situation on why the Eagles didn't win.,0
Extremely,Extremely,Extremely,178e825dfcd1,control,opioids,two,Moderately,A little,Extremely,Extremely,Serious problem,Moderate Priority,Somewhat Favor,Extremely serious problem,High Priority,Strongly Favor,Woman,White/Caucasian/European,High School,31,,,,1679527183472.0,1679528171761.0,16.47148333333333,first,seven,June,27,The Chief's turf wasn't the reason why the Eagles didn't win but it didn't help the situation on why the Eagles didn't win.,0
A lot,Extremely,Extremely,079507d2f8ce,visual,drugOverdose,two,Not at All,Not at All,A little,Moderately,Extremely serious problem,High Priority,Strongly Oppose,Extremely serious problem,High Priority,Strongly Oppose,Man,White/Caucasian/European,Masters,41,,,,1679527184163.0,1679528042376.0,14.30355,2,8,Emily,0,The playing field was horrible but both teams had to play on it and did not decide the game. ,0
Extremely,Extremely,Extremely,079507d2f8ce,visual,population,two,Not at All,Not at All,A little,Moderately,Extremely serious problem,High Priority,Strongly Oppose,Extremely serious problem,High Priority,Strongly Oppose,Man,White/Caucasian/European,Masters,41,,,,1679527184163.0,1679528042376.0,14.30355,2,8,Emily,0,The playing field was horrible but both teams had to play on it and did not decide the game. ,0
Extremely,Extremely,Extremely,079507d2f8ce,visual,opioids,two,Not at All,Not at All,A little,Moderately,Extremely serious problem,High Priority,Strongly Oppose,Extremely serious problem,High Priority,Strongly Oppose,Man,White/Caucasian/European,Masters,41,,,,1679527184163.0,1679528042376.0,14.30355,2,8,Emily,0,The playing field was horrible but both teams had to play on it and did not decide the game. ,0
A lot,A little,A lot,496aace8b7d3,control,drugOverdose,two,Moderately,A little,A lot,Moderately,Extremely serious problem,Moderate Priority,Strongly Favor,serious problem,High Priority,Strongly Favor,Man,African American/Black,Undergraduate,31,,,,1679527190225.0,1679528567962.0,22.96228333333333,first,seven,June,27,The turf caused issues for the Eagles in the Super Bowl,0
A lot,A lot,Extremely,496aace8b7d3,control,population,two,Moderately,A little,A lot,Moderately,Extremely serious problem,Moderate Priority,Strongly Favor,serious problem,High Priority,Strongly Favor,Man,African American/Black,Undergraduate,31,,,,1679527190225.0,1679528567962.0,22.96228333333333,first,seven,June,27,The turf caused issues for the Eagles in the Super Bowl,0
A lot,A lot,A lot,496aace8b7d3,control,opioids,two,Moderately,A little,A lot,Moderately,Extremely serious problem,Moderate Priority,Strongly Favor,serious problem,High Priority,Strongly Favor,Man,African American/Black,Undergraduate,31,,,,1679527190225.0,1679528567962.0,22.96228333333333,first,seven,June,27,The turf caused issues for the Eagles in the Super Bowl,0
A lot,Not at All,Extremely,34f415870b37,txt,drugOverdose,two,A little,A little,Moderately,Moderately,Serious problem,High Priority,Somewhat Oppose,Extremely serious problem,High Priority,Somewhat Oppose,Man,White/Caucasian/European,Undergraduate,73,,,,1679527202664.0,1679528013214.0,13.509166666666667,first,8,June,27,The players at the Superbowl said the field conditions were not up to par. ,0
Moderately,Not at All,A lot,34f415870b37,txt,population,two,A little,A little,Moderately,Moderately,Serious problem,High Priority,Somewhat Oppose,Extremely serious problem,High Priority,Somewhat Oppose,Man,White/Caucasian/European,Undergraduate,73,,,,1679527202664.0,1679528013214.0,13.509166666666667,first,8,June,27,The players at the Superbowl said the field conditions were not up to par. ,0
A lot,Not at All,Extremely,34f415870b37,txt,opioids,two,A little,A little,Moderately,Moderately,Serious problem,High Priority,Somewhat Oppose,Extremely serious problem,High Priority,Somewhat Oppose,Man,White/Caucasian/European,Undergraduate,73,,,,1679527202664.0,1679528013214.0,13.509166666666667,first,8,June,27,The players at the Superbowl said the field conditions were not up to par. ,0
A little,A little,A little,cf1b1928737e,visual,drugOverdose,two,A little,Not at All,Not at All,A little,Moderate problem,Neutral,Somewhat Favor,Minor Problem,Low Priority,Somewhat Favor,Man,White/Caucasian/European,Undergraduate,31,,,,1679527204520.0,1679527845643.0,10.685383333333334,second place,8,emily,27,the eagles loss to and how it was not due to turf/weather conditions,0
A little,A little,Not at All,cf1b1928737e,visual,population,two,A little,Not at All,Not at All,A little,Moderate problem,Neutral,Somewhat Favor,Minor Problem,Low Priority,Somewhat Favor,Man,White/Caucasian/European,Undergraduate,31,,,,1679527204520.0,1679527845643.0,10.685383333333334,second place,8,emily,27,the eagles loss to and how it was not due to turf/weather conditions,0
Moderately,A little,Moderately,cf1b1928737e,visual,opioids,two,A little,Not at All,Not at All,A little,Moderate problem,Neutral,Somewhat Favor,Minor Problem,Low Priority,Somewhat Favor,Man,White/Caucasian/European,Undergraduate,31,,,,1679527204520.0,1679527845643.0,10.685383333333334,second place,8,emily,27,the eagles loss to and how it was not due to turf/weather conditions,0
Extremely,Moderately,Extremely,f197e7691f9d,txt,opioids,two,A lot,A lot,A lot,Extremely,Extremely serious problem,High Priority,Somewhat Oppose,Extremely serious problem,High Priority,Somewhat Oppose,Woman,White/Caucasian/European,other,64,,Associates Degree,,1679527206745.0,1679530626095.0,56.98916666666667,Second,8,Emily,27,"Although the turf used made it difficult for both teams to play on, the Chiefs deserved to win. ",1
A lot,A little,Moderately,70c423260b1a,visual,drugOverdose,two,A little,A little,A little,Moderately,Serious problem,Moderate Priority,Somewhat Favor,serious problem,Moderate Priority,Somewhat Favor,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,32,,,,1679527215868.0,1679527903968.0,11.468333333333334,second,8,Emily,27 cubic feet,The Eagles were unsatisfied with the quality of the turf at Arizona,0
A little,Moderately,A little,70c423260b1a,visual,population,two,A little,A little,A little,Moderately,Serious problem,Moderate Priority,Somewhat Favor,serious problem,Moderate Priority,Somewhat Favor,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,32,,,,1679527215868.0,1679527903968.0,11.468333333333334,second,8,Emily,27 cubic feet,The Eagles were unsatisfied with the quality of the turf at Arizona,0
A lot,A little,A lot,70c423260b1a,visual,opioids,two,A little,A little,A little,Moderately,Serious problem,Moderate Priority,Somewhat Favor,serious problem,Moderate Priority,Somewhat Favor,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,32,,,,1679527215868.0,1679527903968.0,11.468333333333334,second,8,Emily,27 cubic feet,The Eagles were unsatisfied with the quality of the turf at Arizona,0
A lot,Moderately,A lot,172826cdadfc,control,drugOverdose,two,A lot,Moderately,Extremely,Extremely,Extremely serious problem,High Priority,Somewhat Favor,Extremely serious problem,High Priority,Somewhat Favor,Woman,White/Caucasian/European,High School,42,,,,1679527223310.0,1679527945486.0,12.036266666666666,first,8,Emily,27,The eagles were not happy with the field conditions.,0
Moderately,Moderately,A lot,172826cdadfc,control,population,two,A lot,Moderately,Extremely,Extremely,Extremely serious problem,High Priority,Somewhat Favor,Extremely serious problem,High Priority,Somewhat Favor,Woman,White/Caucasian/European,High School,42,,,,1679527223310.0,1679527945486.0,12.036266666666666,first,8,Emily,27,The eagles were not happy with the field conditions.,0
A lot,A little,A lot,172826cdadfc,control,opioids,two,A lot,Moderately,Extremely,Extremely,Extremely serious problem,High Priority,Somewhat Favor,Extremely serious problem,High Priority,Somewhat Favor,Woman,White/Caucasian/European,High School,42,,,,1679527223310.0,1679527945486.0,12.036266666666666,first,8,Emily,27,The eagles were not happy with the field conditions.,0
Moderately,A lot,Extremely,0c423439d6dc,txt,drugOverdose,two,A little,A little,A little,A little,Moderate problem,Moderate Priority,Strongly Favor,Moderate problem,Moderate Priority,Strongly Favor,Woman,Hispanic/Latino,Undergraduate,33,,,,1679527225274.0,1679528476367.0,20.85155,Second,8,Emily,3,The Superbowl field turf was difficult to play on.,0
Moderately,A lot,Extremely,0c423439d6dc,txt,population,two,A little,A little,A little,A little,Moderate problem,Moderate Priority,Strongly Favor,Moderate problem,Moderate Priority,Strongly Favor,Woman,Hispanic/Latino,Undergraduate,33,,,,1679527225274.0,1679528476367.0,20.85155,Second,8,Emily,3,The Superbowl field turf was difficult to play on.,0
Moderately,A lot,Extremely,0c423439d6dc,txt,opioids,two,A little,A little,A little,A little,Moderate problem,Moderate Priority,Strongly Favor,Moderate problem,Moderate Priority,Strongly Favor,Woman,Hispanic/Latino,Undergraduate,33,,,,1679527225274.0,1679528476367.0,20.85155,Second,8,Emily,3,The Superbowl field turf was difficult to play on.,0
Moderately,Moderately,A lot,144a2a1e27f5,txt,drugOverdose,two,A lot,A lot,Moderately,A lot,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Neutral,Woman,Hispanic/Latino,High School,34,,,,1679527225816.0,1679527753991.0,8.802916666666667,first,8,june,3,The NFL did nothing to help the teams when they had to play on poor turf which caused some problems in how the team performed,0
Moderately,Moderately,A lot,144a2a1e27f5,txt,population,two,A lot,A lot,Moderately,A lot,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Neutral,Woman,Hispanic/Latino,High School,34,,,,1679527225816.0,1679527753991.0,8.802916666666667,first,8,june,3,The NFL did nothing to help the teams when they had to play on poor turf which caused some problems in how the team performed,0
Moderately,Moderately,A lot,144a2a1e27f5,txt,opioids,two,A lot,A lot,Moderately,A lot,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Neutral,Woman,Hispanic/Latino,High School,34,,,,1679527225816.0,1679527753991.0,8.802916666666667,first,8,june,3,The NFL did nothing to help the teams when they had to play on poor turf which caused some problems in how the team performed,0
Extremely,Extremely,Extremely,9b21799394d1,control,drugOverdose,two,Moderately,A lot,A lot,Extremely,Serious problem,Moderate Priority,Somewhat Favor,Extremely serious problem,High Priority,Strongly Favor,Man,White/Caucasian/European,High School,46,,,,1679527227514.0,1679528631976.0,23.4077,2nd,8,June,27,The article is about the condition of the feild in the superbowl in how players were slippling and falling all ovver the place effecting how both teams played. ,0
A lot,Moderately,Extremely,9b21799394d1,control,population,two,Moderately,A lot,A lot,Extremely,Serious problem,Moderate Priority,Somewhat Favor,Extremely serious problem,High Priority,Strongly Favor,Man,White/Caucasian/European,High School,46,,,,1679527227514.0,1679528631976.0,23.4077,2nd,8,June,27,The article is about the condition of the feild in the superbowl in how players were slippling and falling all ovver the place effecting how both teams played. ,0
Extremely,Extremely,Extremely,9b21799394d1,control,opioids,two,Moderately,A lot,A lot,Extremely,Serious problem,Moderate Priority,Somewhat Favor,Extremely serious problem,High Priority,Strongly Favor,Man,White/Caucasian/European,High School,46,,,,1679527227514.0,1679528631976.0,23.4077,2nd,8,June,27,The article is about the condition of the feild in the superbowl in how players were slippling and falling all ovver the place effecting how both teams played. ,0
A lot,A little,A lot,8d7b7142a6aa,txt,drugOverdose,two,A little,A little,A little,Moderately,Serious problem,Moderate Priority,Somewhat Favor,Extremely serious problem,High Priority,Somewhat Favor,Man,African American/Black,High School,36,,,,1679527230132.0,1679528057217.0,13.78475,1,8,June,27,The field conditions during the Super Bowl were poor and made it hard on the players.,0
Moderately,A lot,Moderately,8d7b7142a6aa,txt,population,two,A little,A little,A little,Moderately,Serious problem,Moderate Priority,Somewhat Favor,Extremely serious problem,High Priority,Somewhat Favor,Man,African American/Black,High School,36,,,,1679527230132.0,1679528057217.0,13.78475,1,8,June,27,The field conditions during the Super Bowl were poor and made it hard on the players.,0
A lot,A lot,A lot,8d7b7142a6aa,txt,opioids,two,A little,A little,A little,Moderately,Serious problem,Moderate Priority,Somewhat Favor,Extremely serious problem,High Priority,Somewhat Favor,Man,African American/Black,High School,36,,,,1679527230132.0,1679528057217.0,13.78475,1,8,June,27,The field conditions during the Super Bowl were poor and made it hard on the players.,0
Extremely,Moderately,Extremely,dc74edebf942,txt,drugOverdose,two,Extremely,Moderately,Moderately,A lot,Extremely serious problem,High Priority,Somewhat Favor,Extremely serious problem,High Priority,Somewhat Favor,Woman,Hispanic/Latino,Undergraduate,47,,,,1679527233031.0,1679528968728.0,28.928283333333333,First,8,Emily,27,"Although team play was somewhat at fault, the 2023 Super Bowl turf caused a lot of concern.",0
Extremely,A lot,Extremely,dc74edebf942,txt,population,two,Extremely,Moderately,Moderately,A lot,Extremely serious problem,High Priority,Somewhat Favor,Extremely serious problem,High Priority,Somewhat Favor,Woman,Hispanic/Latino,Undergraduate,47,,,,1679527233031.0,1679528968728.0,28.928283333333333,First,8,Emily,27,"Although team play was somewhat at fault, the 2023 Super Bowl turf caused a lot of concern.",0
Extremely,A lot,Extremely,dc74edebf942,txt,opioids,two,Extremely,Moderately,Moderately,A lot,Extremely serious problem,High Priority,Somewhat Favor,Extremely serious problem,High Priority,Somewhat Favor,Woman,Hispanic/Latino,Undergraduate,47,,,,1679527233031.0,1679528968728.0,28.928283333333333,First,8,Emily,27,"Although team play was somewhat at fault, the 2023 Super Bowl turf caused a lot of concern.",0
Moderately,A lot,Extremely,d30a96b71109,control,drugOverdose,two,Moderately,Moderately,Moderately,Moderately,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Woman,African American/Black,Undergraduate,75,,,,1679527241108.0,1679529454257.0,36.88581666666666,first,7,June,27,The field conditions for the 2023 super bowl were the worst they ever had been.  The conditions affected the play of both teams.  The losing team said they didn't blame their loss on the field conditions since both sides had to deal with the field's condition.,0
Moderately,A lot,Extremely,d30a96b71109,control,population,two,Moderately,Moderately,Moderately,Moderately,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Woman,African American/Black,Undergraduate,75,,,,1679527241108.0,1679529454257.0,36.88581666666666,first,7,June,27,The field conditions for the 2023 super bowl were the worst they ever had been.  The conditions affected the play of both teams.  The losing team said they didn't blame their loss on the field conditions since both sides had to deal with the field's condition.,0
A lot,A lot,Extremely,d30a96b71109,control,opioids,two,Moderately,Moderately,Moderately,Moderately,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Woman,African American/Black,Undergraduate,75,,,,1679527241108.0,1679529454257.0,36.88581666666666,first,7,June,27,The field conditions for the 2023 super bowl were the worst they ever had been.  The conditions affected the play of both teams.  The losing team said they didn't blame their loss on the field conditions since both sides had to deal with the field's condition.,0
A lot,Moderately,Extremely,8117cca3bfad,txt,drugOverdose,two,A lot,A lot,A lot,Extremely,Extremely serious problem,High Priority,Somewhat Favor,Extremely serious problem,High Priority,Somewhat Favor,Woman,White/Caucasian/European,Undergraduate,49,,,,1679527242424.0,1679528542449.0,21.66708333333333,1,8,Emily,27,"The Eagles coach admitted defeat in the Superbowl, but still states poor field conditions were a factor.",0
A lot,Moderately,A lot,8117cca3bfad,txt,population,two,A lot,A lot,A lot,Extremely,Extremely serious problem,High Priority,Somewhat Favor,Extremely serious problem,High Priority,Somewhat Favor,Woman,White/Caucasian/European,Undergraduate,49,,,,1679527242424.0,1679528542449.0,21.66708333333333,1,8,Emily,27,"The Eagles coach admitted defeat in the Superbowl, but still states poor field conditions were a factor.",0
A lot,A lot,A lot,8117cca3bfad,txt,opioids,two,A lot,A lot,A lot,Extremely,Extremely serious problem,High Priority,Somewhat Favor,Extremely serious problem,High Priority,Somewhat Favor,Woman,White/Caucasian/European,Undergraduate,49,,,,1679527242424.0,1679528542449.0,21.66708333333333,1,8,Emily,27,"The Eagles coach admitted defeat in the Superbowl, but still states poor field conditions were a factor.",0
Moderately,Moderately,A lot,7d6b34343eff,txt,drugOverdose,two,Moderately,A little,A lot,A lot,Moderate problem,Neutral,Somewhat Favor,serious problem,Moderate Priority,Neutral,Woman,White/Caucasian/European,Undergraduate,26,,,,1679527244536.0,1679528021103.0,12.942783333333333,second,8,Emily,3,poor turf on the football field effected the players but the eagles won ,0
Moderately,Moderately,Moderately,7d6b34343eff,txt,population,two,Moderately,A little,A lot,A lot,Moderate problem,Neutral,Somewhat Favor,serious problem,Moderate Priority,Neutral,Woman,White/Caucasian/European,Undergraduate,26,,,,1679527244536.0,1679528021103.0,12.942783333333333,second,8,Emily,3,poor turf on the football field effected the players but the eagles won ,0
Moderately,Moderately,A lot,7d6b34343eff,txt,opioids,two,Moderately,A little,A lot,A lot,Moderate problem,Neutral,Somewhat Favor,serious problem,Moderate Priority,Neutral,Woman,White/Caucasian/European,Undergraduate,26,,,,1679527244536.0,1679528021103.0,12.942783333333333,second,8,Emily,3,poor turf on the football field effected the players but the eagles won ,0
Moderately,Moderately,Moderately,90a79dd414df,control,opioids,two,Not at All,Not at All,Not at All,Not at All,Serious problem,Moderate Priority,Somewhat Favor,Extremely serious problem,Moderate Priority,Somewhat Favor,Man,"Indian, Pakistani, Bangladeshi, or any other Asian",High School,21,,,,1679527251584.0,1679527967131.0,11.925783333333332,second,eight,Emily,3,"Nfl players, specifically members of the Eagles, found trouble with the turf playing field, as they believe it hampered their abilities, and are disappointed that the NFL would produce such a garbage product.",0
Moderately,A lot,Moderately,ba214bf20416,control,drugOverdose,two,Moderately,Moderately,Moderately,Moderately,Serious problem,Moderate Priority,Neutral,Extremely serious problem,High Priority,Somewhat Oppose,Woman,"East Asian e.g. Chinese, Japanese, South-East Asian",High School,30,,,,1679527254448.0,1679528100005.0,14.092616666666666,1,8,June,27,The article above was about players complaining about the quality of turf while playing during the Super Bowl.,0
Moderately,A lot,Moderately,ba214bf20416,control,population,two,Moderately,Moderately,Moderately,Moderately,Serious problem,Moderate Priority,Neutral,Extremely serious problem,High Priority,Somewhat Oppose,Woman,"East Asian e.g. Chinese, Japanese, South-East Asian",High School,30,,,,1679527254448.0,1679528100005.0,14.092616666666666,1,8,June,27,The article above was about players complaining about the quality of turf while playing during the Super Bowl.,0
Moderately,Extremely,Moderately,ba214bf20416,control,opioids,two,Moderately,Moderately,Moderately,Moderately,Serious problem,Moderate Priority,Neutral,Extremely serious problem,High Priority,Somewhat Oppose,Woman,"East Asian e.g. Chinese, Japanese, South-East Asian",High School,30,,,,1679527254448.0,1679528100005.0,14.092616666666666,1,8,June,27,The article above was about players complaining about the quality of turf while playing during the Super Bowl.,0
A lot,Moderately,A lot,0a10aaabd6d4,control,drugOverdose,two,A little,A little,Moderately,Moderately,Moderate problem,Moderate Priority,Neutral,serious problem,Moderate Priority,Neutral,Man,African American/Black,Undergraduate,31,,,,1679527254841.0,1679528346291.0,18.19083333333333,second,8,Emily,0,The turf used for the Super Bowl may have been of low quality and might have affected how the teams played as some were slipping.,0
Moderately,A little,Moderately,0a10aaabd6d4,control,population,two,A little,A little,Moderately,Moderately,Moderate problem,Moderate Priority,Neutral,serious problem,Moderate Priority,Neutral,Man,African American/Black,Undergraduate,31,,,,1679527254841.0,1679528346291.0,18.19083333333333,second,8,Emily,0,The turf used for the Super Bowl may have been of low quality and might have affected how the teams played as some were slipping.,0
Moderately,A little,Moderately,0a10aaabd6d4,control,opioids,two,A little,A little,Moderately,Moderately,Moderate problem,Moderate Priority,Neutral,serious problem,Moderate Priority,Neutral,Man,African American/Black,Undergraduate,31,,,,1679527254841.0,1679528346291.0,18.19083333333333,second,8,Emily,0,The turf used for the Super Bowl may have been of low quality and might have affected how the teams played as some were slipping.,0
Moderately,Moderately,Moderately,a14568774ad7,txt,drugOverdose,two,A lot,Moderately,Moderately,Moderately,Moderate problem,Moderate Priority,Strongly Favor,serious problem,Moderate Priority,Strongly Favor,Man,White/Caucasian/European,High School,40,,,,1679527255988.0,1679528015932.0,12.665733333333334,second,8,june,27,"That astroturf is basically hot ass. Not exactly ice, but you may as well be playing on a wet mall floor.",0
Moderately,Moderately,Moderately,a14568774ad7,txt,population,two,A lot,Moderately,Moderately,Moderately,Moderate problem,Moderate Priority,Strongly Favor,serious problem,Moderate Priority,Strongly Favor,Man,White/Caucasian/European,High School,40,,,,1679527255988.0,1679528015932.0,12.665733333333334,second,8,june,27,"That astroturf is basically hot ass. Not exactly ice, but you may as well be playing on a wet mall floor.",0
Moderately,A little,Moderately,a14568774ad7,txt,opioids,two,A lot,Moderately,Moderately,Moderately,Moderate problem,Moderate Priority,Strongly Favor,serious problem,Moderate Priority,Strongly Favor,Man,White/Caucasian/European,High School,40,,,,1679527255988.0,1679528015932.0,12.665733333333334,second,8,june,27,"That astroturf is basically hot ass. Not exactly ice, but you may as well be playing on a wet mall floor.",0
A lot,Moderately,A lot,ea233977f1ab,txt,drugOverdose,two,A lot,A lot,A lot,A lot,Extremely serious problem,High Priority,Somewhat Favor,Extremely serious problem,High Priority,Neutral,Woman,White/Caucasian/European,Undergraduate,52,,,,1679527256244.0,1679528171673.0,15.25715,first,7,June,27,The turf used at the super bowl affect team play,0
A lot,Moderately,A lot,ea233977f1ab,txt,population,two,A lot,A lot,A lot,A lot,Extremely serious problem,High Priority,Somewhat Favor,Extremely serious problem,High Priority,Neutral,Woman,White/Caucasian/European,Undergraduate,52,,,,1679527256244.0,1679528171673.0,15.25715,first,7,June,27,The turf used at the super bowl affect team play,0
A lot,Moderately,A lot,ea233977f1ab,txt,opioids,two,A lot,A lot,A lot,A lot,Extremely serious problem,High Priority,Somewhat Favor,Extremely serious problem,High Priority,Neutral,Woman,White/Caucasian/European,Undergraduate,52,,,,1679527256244.0,1679528171673.0,15.25715,first,7,June,27,The turf used at the super bowl affect team play,0
A little,A little,Moderately,da40d77d3863,txt,drugOverdose,two,A little,A little,A little,A little,Minor Problem,Neutral,Neutral,Moderate problem,Neutral,Neutral,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",Masters,29,,,,1679527257355.0,1679528897007.0,27.32753333333333,first,8,Emily,27,Football players dislike the field turf and complain about it.,0
A little,A little,Moderately,da40d77d3863,txt,population,two,A little,A little,A little,A little,Minor Problem,Neutral,Neutral,Moderate problem,Neutral,Neutral,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",Masters,29,,,,1679527257355.0,1679528897007.0,27.32753333333333,first,8,Emily,27,Football players dislike the field turf and complain about it.,0
Moderately,Moderately,Moderately,da40d77d3863,txt,opioids,two,A little,A little,A little,A little,Minor Problem,Neutral,Neutral,Moderate problem,Neutral,Neutral,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",Masters,29,,,,1679527257355.0,1679528897007.0,27.32753333333333,first,8,Emily,27,Football players dislike the field turf and complain about it.,0
A lot,A lot,Extremely,4f63e8333f16,visual,drugOverdose,two,Moderately,Moderately,A little,A lot,Extremely serious problem,High Priority,Neutral,Extremely serious problem,High Priority,Neutral,Woman,White/Caucasian/European,other,33,,Associate's Degree,,1679527257469.0,1679527828922.0,9.524216666666666,second,8,Emily,0,"While the field conditions weren't the only reason The Eagles didn't win, it was a big problem for the players and slowed them down.",0
