Unnamed: 0,article_recommend,article_surprise,article_interest,PID,treatment,article,study,topic_inv_drug_overdose_vlaue_opinion,topic_inv_defend_view_point_drugOverdose,topic_inv_learning_drug_overdose,topic_inv_motivation_gaining_knowledge,att_elic_drug_overdose_opinion_pre,att_elic_combat_drug_priority_pre,att_elic_opinion_on_drug_legalization_pre,att_elic_drug_overdose_opinion_post,att_elic_combat_drug_priority_post,att_elic_opinion_on_drug_legalization_post,gender,race,education,age,race.Comment,education.Comment,gender.Comment,survey_start,study_finish,study_duration,cogref_race,cogref_sheep,cogref_name,cogref_volume,cogref_Superbowl,exclude,topic_involvement,attitude_pre,attitude_post,recall_rmse,recall_signed_err,recall_rmse.sc,vis_elic_rmse,vis_elic_signed_err,vis_elic_rmse.sc
242,4,2,5,2868ed731da0,Draw,Drug overdoses,two,3,2,5,5,5,5,3,5,5,3,Woman,White/Caucasian/European,Undergraduate,72,,,,1679527159037,1679527989483,13.8407666666667,First ,8,June ,three cubic feet ,The Eagles blamed their poor performance on ground conditions that made it hard to quick passing among other things ,0,15,13,13,5120.62785264177,873.094592524511,0.0640078481580221,5994.79583736084,5248.73958736455,0.0749349479670105
243,4,2,5,2868ed731da0,Draw,Drug-use disorder,two,3,2,5,5,5,5,3,5,5,3,Woman,White/Caucasian/European,Undergraduate,72,,,,1679527159037,1679527989483,13.8407666666667,First ,8,June ,three cubic feet ,The Eagles blamed their poor performance on ground conditions that made it hard to quick passing among other things ,0,15,13,13,3.24800659223234,2.83570712850313,0.324800659223234,3.87067828780845,3.37234274093581,0.387067828780845
244,4,4,5,2868ed731da0,Draw,Synthetic opioids,two,3,2,5,5,5,5,3,5,5,3,Woman,White/Caucasian/European,Undergraduate,72,,,,1679527159037,1679527989483,13.8407666666667,First ,8,June ,three cubic feet ,The Eagles blamed their poor performance on ground conditions that made it hard to quick passing among other things ,0,15,13,13,21394.9156586941,15685.2408637754,0.267436445733676,29713.1805848823,26012.1106698696,0.371414757311029
245,3,2,3,83cdda42d9ab,Control,Drug overdoses,two,2,2,2,3,5,4,3,5,5,3,Man,White/Caucasian/European,High School,43,,,,1679527162829,1679527822316,10.99145,second,8,Emily,0,The turf at the SuperBowl was subpar according to Reddick.,0,9,12,13,11453.2361167716,-9240.11661506708,0.143165451459645,,,
246,3,3,3,83cdda42d9ab,Control,Drug-use disorder,two,2,2,2,3,5,4,3,5,5,3,Man,White/Caucasian/European,High School,43,,,,1679527162829,1679527822316,10.99145,second,8,Emily,0,The turf at the SuperBowl was subpar according to Reddick.,0,9,12,13,0.697565043011747,0.479708462332302,0.0697565043011747,,,
247,3,2,3,83cdda42d9ab,Control,Synthetic opioids,two,2,2,2,3,5,4,3,5,5,3,Man,White/Caucasian/European,High School,43,,,,1679527162829,1679527822316,10.99145,second,8,Emily,0,The turf at the SuperBowl was subpar according to Reddick.,0,9,12,13,8271.97359756707,5842.30286241921,0.103399669969588,,,
248,3,4,3,9a2df204e0d4,Draw,Drug overdoses,two,2,2,3,3,3,4,5,3,4,5,Man,White/Caucasian/European,High School,22,,,,1679527164627,1679528062235,14.9601333333333,second,8,June,9,"The Eagles said the turf they played on in the Super Bowl was not up to par and while it did change the outcome of the game, it did make things harder for the Eagles.",0,10,12,12,15799.3097934465,-13449.298771688,0.197491372418081,14757.0383195524,-9671.38082510965,0.184462978994405
249,3,3,3,9a2df204e0d4,Draw,Drug-use disorder,two,2,2,3,3,3,4,5,3,4,5,Man,White/Caucasian/European,High School,22,,,,1679527164627,1679528062235,14.9601333333333,second,8,June,9,"The Eagles said the turf they played on in the Super Bowl was not up to par and while it did change the outcome of the game, it did make things harder for the Eagles.",0,10,12,12,0.330722911317661,0.237977403260852,0.0330722911317661,1.03453367493023,0.583901142951013,0.103453367493023
250,3,4,4,9a2df204e0d4,Draw,Synthetic opioids,two,2,2,3,3,3,4,5,3,4,5,Man,White/Caucasian/European,High School,22,,,,1679527164627,1679528062235,14.9601333333333,second,8,June,9,"The Eagles said the turf they played on in the Super Bowl was not up to par and while it did change the outcome of the game, it did make things harder for the Eagles.",0,10,12,12,9792.45038247583,98.906607081024,0.122405629780948,21337.1583149884,-10801.1891555575,0.266714478937355
251,2,1,5,97cbfcda233f,Draw,Drug overdoses,two,2,3,2,2,3,3,5,3,4,5,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,25,,,,1679527167570,1679528103401,15.5971833333333,first,seven,Emily,9,"The Eagles complained that the poor turf limited their ability to shut down the Chief's offense by slowing down their pass rushers, preventing them from being able to sac the Chief's QB.",0,9,11,12,10043.0092320467,-8858.53766769867,0.125537615400584,10340.0840371277,-5539.65221878225,0.129251050464097
252,4,2,5,97cbfcda233f,Draw,Drug-use disorder,two,2,3,2,2,3,3,5,3,4,5,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,25,,,,1679527167570,1679528103401,15.5971833333333,first,seven,Emily,9,"The Eagles complained that the poor turf limited their ability to shut down the Chief's offense by slowing down their pass rushers, preventing them from being able to sac the Chief's QB.",0,9,11,12,0.281053946980842,0.265279927760578,0.0281053946980842,1.17664919744991,0.746188080495356,0.117664919744991
253,2,4,4,97cbfcda233f,Draw,Synthetic opioids,two,2,3,2,2,3,3,5,3,4,5,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,25,,,,1679527167570,1679528103401,15.5971833333333,first,seven,Emily,9,"The Eagles complained that the poor turf limited their ability to shut down the Chief's offense by slowing down their pass rushers, preventing them from being able to sac the Chief's QB.",0,9,11,12,8537.64515499444,6726.19021237304,0.106720564437431,12724.9755920032,-5565.5918744229,0.15906219490004
254,3,3,3,4b1dba4add00,Draw,Drug overdoses,two,2,2,2,3,3,4,4,4,4,2,Man,White/Caucasian/European,Undergraduate,39,,,,1679527172704,1679527577070,6.73943333333333,second,8,Emily,27,"The field conditions affected both teams, particularly the Eagles', in their game against the Chiefs, but the Eagles did not want to use it as an excuse for their loss.",0,9,11,10,4865.63775563652,-1927.32334397575,0.0608204719454565,5534.77613105028,-3214.69122081398,0.0691847016381285
255,4,4,4,4b1dba4add00,Draw,Drug-use disorder,two,2,2,2,3,3,4,4,4,4,2,Man,White/Caucasian/European,Undergraduate,39,,,,1679527172704,1679527577070,6.73943333333333,second,8,Emily,27,"The field conditions affected both teams, particularly the Eagles', in their game against the Chiefs, but the Eagles did not want to use it as an excuse for their loss.",0,9,11,10,0.855442022850078,0.626005763633578,0.0855442022850078,0.886177358828178,0.657035243425084,0.0886177358828178
256,5,5,5,4b1dba4add00,Draw,Synthetic opioids,two,2,2,2,3,3,4,4,4,4,2,Man,White/Caucasian/European,Undergraduate,39,,,,1679527172704,1679527577070,6.73943333333333,second,8,Emily,27,"The field conditions affected both teams, particularly the Eagles', in their game against the Chiefs, but the Eagles did not want to use it as an excuse for their loss.",0,9,11,10,7001.13916210412,5854.03333477609,0.0875142395263015,18313.0284984314,-6301.09853272161,0.228912856230392
257,1,3,3,17618192af34,Categorize,Drug overdoses,two,3,4,5,3,3,4,5,3,4,5,Woman,White/Caucasian/European,High School,23,,,,1679527176504,1679527757926,9.69036666666667,second,8,June,9,Football players are frustrated by the turf they had to play on in this year's Super Bowl. ,0,15,12,12,3865.93349360636,252.243219491742,0.0483241686700796,,,
258,1,3,3,17618192af34,Categorize,Drug-use disorder,two,3,4,5,3,3,4,5,3,4,5,Woman,White/Caucasian/European,High School,23,,,,1679527176504,1679527757926,9.69036666666667,second,8,June,9,Football players are frustrated by the turf they had to play on in this year's Super Bowl. ,0,15,12,12,2.05293727809645,1.56518797820321,0.205293727809645,,,
259,1,2,3,17618192af34,Categorize,Synthetic opioids,two,3,4,5,3,3,4,5,3,4,5,Woman,White/Caucasian/European,High School,23,,,,1679527176504,1679527757926,9.69036666666667,second,8,June,9,Football players are frustrated by the turf they had to play on in this year's Super Bowl. ,0,15,12,12,19367.160642216,12366.5604765409,0.2420895080277,,,
260,5,4,5,9e757e2528fa,Draw,Drug overdoses,two,3,3,3,5,5,5,4,5,5,1,Woman,White/Caucasian/European,High School,55,,,,1679527177836,1679528135385,15.95915,2,8,June,27,The turf was a problem for sacks during the Super Bowl 2023.,0,14,14,11,12900.7293503517,-10724.3787409701,0.161259116879396,6045.46971615826,5110.50257997936,0.0755683714519782
261,5,4,5,9e757e2528fa,Draw,Drug-use disorder,two,3,3,3,5,5,5,4,5,5,1,Woman,White/Caucasian/European,High School,55,,,,1679527177836,1679528135385,15.95915,2,8,June,27,The turf was a problem for sacks during the Super Bowl 2023.,0,14,14,11,1.70302287811417,1.52843782249742,0.170302287811417,1.72681337396227,1.51811790505676,0.172681337396227
262,5,5,5,9e757e2528fa,Draw,Synthetic opioids,two,3,3,3,5,5,5,4,5,5,1,Woman,White/Caucasian/European,High School,55,,,,1679527177836,1679528135385,15.95915,2,8,June,27,The turf was a problem for sacks during the Super Bowl 2023.,0,14,14,11,23004.8018898368,19668.0184672207,0.287560023622959,19794.668353293,-8815.82271468144,0.247433354416163
263,4,5,5,f378f5def703,Control,Drug overdoses,two,4,4,5,5,5,5,5,5,5,5,Woman,White/Caucasian/European,High School,29,,,,1679527180820,1679528143220,16.04,Second,8,Emily,0,"While the Eagles players and coach said the field conditions weren't to blame for the outcome of the Super Bowl, it did impact how they played.",0,18,15,15,15173.6463158711,-11484.0226735842,0.189670578948389,,,
264,4,4,4,f378f5def703,Control,Drug-use disorder,two,4,4,5,5,5,5,5,5,5,5,Woman,White/Caucasian/European,High School,29,,,,1679527180820,1679528143220,16.04,Second,8,Emily,0,"While the Eagles players and coach said the field conditions weren't to blame for the outcome of the Super Bowl, it did impact how they played.",0,18,15,15,1.58427960434671,1.13076803327468,0.158427960434671,,,
265,5,5,5,f378f5def703,Control,Synthetic opioids,two,4,4,5,5,5,5,5,5,5,5,Woman,White/Caucasian/European,High School,29,,,,1679527180820,1679528143220,16.04,Second,8,Emily,0,"While the Eagles players and coach said the field conditions weren't to blame for the outcome of the Super Bowl, it did impact how they played.",0,18,15,15,6103.49879532003,-1141.08627609577,0.0762937349415004,,,
266,3,4,3,33af08f4e749,Draw,Drug overdoses,two,3,3,3,4,4,4,3,4,5,3,Woman,White/Caucasian/European,High School,29,,,,1679527182000,1679528776214,26.5702333333333,second,7,Emily,3,It is about the frustrations the Eagles had about their game against the Chiefs being that the field was hard to play on and they thought the NFL should have done better.,0,13,11,12,3220.84733947136,1131.14241486067,0.040260591743392,11745.2730466145,-7203.99690402477,0.146815913082681
267,2,3,3,33af08f4e749,Draw,Drug-use disorder,two,3,3,3,4,4,4,3,4,5,3,Woman,White/Caucasian/European,High School,29,,,,1679527182000,1679528776214,26.5702333333333,second,7,Emily,3,It is about the frustrations the Eagles had about their game against the Chiefs being that the field was hard to play on and they thought the NFL should have done better.,0,13,11,12,0.645820947211101,0.346194530443757,0.0645820947211101,2.60699155235327,2.25612100103199,0.260699155235326
268,3,3,3,33af08f4e749,Draw,Synthetic opioids,two,3,3,3,4,4,4,3,4,5,3,Woman,White/Caucasian/European,High School,29,,,,1679527182000,1679528776214,26.5702333333333,second,7,Emily,3,It is about the frustrations the Eagles had about their game against the Chiefs being that the field was hard to play on and they thought the NFL should have done better.,0,13,11,12,14542.358533087,12574.5281625115,0.181779481663588,15997.1202772457,9385.46999076639,0.199964003465571
269,3,5,5,178e825dfcd1,Control,Drug overdoses,two,3,2,5,5,4,4,4,5,5,5,Woman,White/Caucasian/European,High School,31,,,,1679527183472,1679528171761,16.4714833333333,first,seven,June,27,The Chief's turf wasn't the reason why the Eagles didn't win but it didn't help the situation on why the Eagles didn't win.,0,15,12,15,7551.21765973609,-5688.34217379386,0.0943902207467011,,,
270,4,5,5,178e825dfcd1,Control,Drug-use disorder,two,3,2,5,5,4,4,4,5,5,5,Woman,White/Caucasian/European,High School,31,,,,1679527183472,1679528171761,16.4714833333333,first,seven,June,27,The Chief's turf wasn't the reason why the Eagles didn't win but it didn't help the situation on why the Eagles didn't win.,0,15,12,15,0.662918319492532,0.2253662109375,0.0662918319492532,,,
271,5,5,5,178e825dfcd1,Control,Synthetic opioids,two,3,2,5,5,4,4,4,5,5,5,Woman,White/Caucasian/European,High School,31,,,,1679527183472,1679528171761,16.4714833333333,first,seven,June,27,The Chief's turf wasn't the reason why the Eagles didn't win but it didn't help the situation on why the Eagles didn't win.,0,15,12,15,13855.0268342379,7585.30416450254,0.173187835427973,,,
272,4,5,5,079507d2f8ce,Draw,Drug overdoses,two,1,1,2,3,5,5,1,5,5,1,Man,White/Caucasian/European,Masters,41,,,,1679527184163,1679528042376,14.30355,2,8,Emily,0,The playing field was horrible but both teams had to play on it and did not decide the game. ,0,7,11,11,6697.75792754552,-123.84253232029,0.083721974094319,13568.4059198848,12056.4107238958,0.16960507399856
273,5,5,5,079507d2f8ce,Draw,Drug-use disorder,two,1,1,2,3,5,5,1,5,5,1,Man,White/Caucasian/European,Masters,41,,,,1679527184163,1679528042376,14.30355,2,8,Emily,0,The playing field was horrible but both teams had to play on it and did not decide the game. ,0,7,11,11,0.728406820252617,0.487491594281113,0.0728406820252617,0.621189090781432,0.398740288544488,0.0621189090781432
274,5,5,5,079507d2f8ce,Draw,Synthetic opioids,two,1,1,2,3,5,5,1,5,5,1,Man,White/Caucasian/European,Masters,41,,,,1679527184163,1679528042376,14.30355,2,8,Emily,0,The playing field was horrible but both teams had to play on it and did not decide the game. ,0,7,11,11,4428.89022128505,2158.40275313077,0.0553611277660632,10974.1016856329,-2879.45459841009,0.137176271070412
275,4,2,4,496aace8b7d3,Control,Drug overdoses,two,3,2,4,3,5,4,5,4,5,5,Man,African American/Black,Undergraduate,31,,,,1679527190225,1679528567962,22.9622833333333,first,seven,June,27,The turf caused issues for the Eagles in the Super Bowl,0,12,14,14,9233.68213225546,7238.72755417956,0.115421026653193,,,
276,4,4,5,496aace8b7d3,Control,Drug-use disorder,two,3,2,4,3,5,4,5,4,5,5,Man,African American/Black,Undergraduate,31,,,,1679527190225,1679528567962,22.9622833333333,first,seven,June,27,The turf caused issues for the Eagles in the Super Bowl,0,12,14,14,0.953352052065416,0.874961300309597,0.0953352052065416,,,
277,4,4,4,496aace8b7d3,Control,Synthetic opioids,two,3,2,4,3,5,4,5,4,5,5,Man,African American/Black,Undergraduate,31,,,,1679527190225,1679528567962,22.9622833333333,first,seven,June,27,The turf caused issues for the Eagles in the Super Bowl,0,12,14,14,5865.11199332165,4461.41643582641,0.0733138999165207,,,
278,4,1,5,34f415870b37,Categorize,Drug overdoses,two,2,2,3,3,4,5,2,5,5,2,Man,White/Caucasian/European,Undergraduate,73,,,,1679527202664,1679528013214,13.5091666666667,first,8,June,27,The players at the Superbowl said the field conditions were not up to par. ,0,10,11,12,16140.2054583565,-13711.6804050568,0.201752568229457,,,
279,3,1,4,34f415870b37,Categorize,Drug-use disorder,two,2,2,3,3,4,5,2,5,5,2,Man,White/Caucasian/European,Undergraduate,73,,,,1679527202664,1679528013214,13.5091666666667,first,8,June,27,The players at the Superbowl said the field conditions were not up to par. ,0,10,11,12,2.44959259130816,1.3382248129515,0.244959259130816,,,
280,4,1,5,34f415870b37,Categorize,Synthetic opioids,two,2,2,3,3,4,5,2,5,5,2,Man,White/Caucasian/European,Undergraduate,73,,,,1679527202664,1679528013214,13.5091666666667,first,8,June,27,The players at the Superbowl said the field conditions were not up to par. ,0,10,11,12,8910.55163863586,6959.69865968375,0.111381895482948,,,
281,2,2,2,cf1b1928737e,Draw,Drug overdoses,two,2,1,1,2,3,3,4,2,2,4,Man,White/Caucasian/European,Undergraduate,31,,,,1679527204520,1679527845643,10.6853833333333,second place,8,emily,27,the eagles loss to and how it was not due to turf/weather conditions,0,6,10,8,3603.98491107791,1451.8338493292,0.0450498113884739,35073.5314718401,-29847.959752322,0.438419143398002
282,2,2,1,cf1b1928737e,Draw,Drug-use disorder,two,2,1,1,2,3,3,4,2,2,4,Man,White/Caucasian/European,Undergraduate,31,,,,1679527204520,1679527845643,10.6853833333333,second place,8,emily,27,the eagles loss to and how it was not due to turf/weather conditions,0,6,10,8,0.36546575663886,0.176173890608875,0.036546575663886,1.21945257248649,-1.03951238390093,0.121945257248649
283,3,2,3,cf1b1928737e,Draw,Synthetic opioids,two,2,1,1,2,3,3,4,2,2,4,Man,White/Caucasian/European,Undergraduate,31,,,,1679527204520,1679527845643,10.6853833333333,second place,8,emily,27,the eagles loss to and how it was not due to turf/weather conditions,0,6,10,8,10372.2897496109,-3482.72022160665,0.129653621870137,13739.6329818604,-601.833795013848,0.171745412273256
284,4,2,3,70c423260b1a,Draw,Drug overdoses,two,2,2,2,3,4,4,4,4,4,4,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,32,,,,1679527215868,1679527903968,11.4683333333333,second,8,Emily,27 cubic feet,The Eagles were unsatisfied with the quality of the turf at Arizona,0,9,12,12,3333.51345976573,-835.833849329203,0.0416689182470716,8794.35030293219,7188.93395252838,0.109929378786652
285,2,3,2,70c423260b1a,Draw,Drug-use disorder,two,2,2,2,3,4,4,4,4,4,4,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,32,,,,1679527215868,1679527903968,11.4683333333333,second,8,Emily,27 cubic feet,The Eagles were unsatisfied with the quality of the turf at Arizona,0,9,12,12,1.6628586229398,1.21858230134159,0.16628586229398,2.62445396660281,2.02353586171311,0.262445396660281
286,4,2,4,70c423260b1a,Draw,Synthetic opioids,two,2,2,2,3,4,4,4,4,4,4,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,32,,,,1679527215868,1679527903968,11.4683333333333,second,8,Emily,27 cubic feet,The Eagles were unsatisfied with the quality of the turf at Arizona,0,9,12,12,12489.0566100431,10694.7959372114,0.156113207625539,9495.96487605729,3204.49122807018,0.118699560950716
287,4,3,4,172826cdadfc,Control,Drug overdoses,two,4,3,5,5,5,5,4,5,5,4,Woman,White/Caucasian/European,High School,42,,,,1679527223310,1679527945486,12.0362666666667,first,8,Emily,27,The eagles were not happy with the field conditions.,0,17,14,14,9057.23701155845,7012.97936016511,0.113215462644481,,,
288,3,3,4,172826cdadfc,Control,Drug-use disorder,two,4,3,5,5,5,5,4,5,5,4,Woman,White/Caucasian/European,High School,42,,,,1679527223310,1679527945486,12.0362666666667,first,8,Emily,27,The eagles were not happy with the field conditions.,0,17,14,14,1.2162077698692,1.08100490196078,0.12162077698692,,,
289,4,2,4,172826cdadfc,Control,Synthetic opioids,two,4,3,5,5,5,5,4,5,5,4,Woman,White/Caucasian/European,High School,42,,,,1679527223310,1679527945486,12.0362666666667,first,8,Emily,27,The eagles were not happy with the field conditions.,0,17,14,14,17507.2535367642,14211.4164358264,0.218840669209553,,,
290,3,4,5,0c423439d6dc,Categorize,Drug overdoses,two,2,2,2,2,3,4,5,3,4,5,Woman,Hispanic/Latino,Undergraduate,33,,,,1679527225274,1679528476367,20.85155,Second,8,Emily,3,The Superbowl field turf was difficult to play on.,0,8,12,12,6066.25518463271,-5041.45807835881,0.0758281898079089,,,
291,3,4,5,0c423439d6dc,Categorize,Drug-use disorder,two,2,2,2,2,3,4,5,3,4,5,Woman,Hispanic/Latino,Undergraduate,33,,,,1679527225274,1679528476367,20.85155,Second,8,Emily,3,The Superbowl field turf was difficult to play on.,0,8,12,12,1.65638585585699,1.30037859118514,0.165638585585699,,,
292,3,4,5,0c423439d6dc,Categorize,Synthetic opioids,two,2,2,2,2,3,4,5,3,4,5,Woman,Hispanic/Latino,Undergraduate,33,,,,1679527225274,1679528476367,20.85155,Second,8,Emily,3,The Superbowl field turf was difficult to play on.,0,8,12,12,10360.0335481349,3786.43985799717,0.129500419351687,,,
293,3,3,4,144a2a1e27f5,Categorize,Drug overdoses,two,4,4,3,4,5,5,5,5,5,3,Woman,Hispanic/Latino,High School,34,,,,1679527225816,1679527753991,8.80291666666667,first,8,june,3,The NFL did nothing to help the teams when they had to play on poor turf which caused some problems in how the team performed,0,15,15,13,4507.99060060035,-189.033023735814,0.0563498825075044,,,
294,3,3,4,144a2a1e27f5,Categorize,Drug-use disorder,two,4,4,3,4,5,5,5,5,5,3,Woman,Hispanic/Latino,High School,34,,,,1679527225816,1679527753991,8.80291666666667,first,8,june,3,The NFL did nothing to help the teams when they had to play on poor turf which caused some problems in how the team performed,0,15,15,13,3.09486570273795,2.63381385448916,0.309486570273795,,,
295,3,3,4,144a2a1e27f5,Categorize,Synthetic opioids,two,4,4,3,4,5,5,5,5,5,3,Woman,Hispanic/Latino,High School,34,,,,1679527225816,1679527753991,8.80291666666667,first,8,june,3,The NFL did nothing to help the teams when they had to play on poor turf which caused some problems in how the team performed,0,15,15,13,28388.6706962938,26277.8984302862,0.354858383703672,,,
296,5,5,5,9b21799394d1,Control,Drug overdoses,two,3,4,4,5,4,4,4,5,5,5,Man,White/Caucasian/European,High School,46,,,,1679527227514,1679528631976,23.4077,2nd,8,June,27,The article is about the condition of the feild in the superbowl in how players were slippling and falling all ovver the place effecting how both teams played. ,0,16,12,15,8925.63297349184,-7641.52814596234,0.111570412168648,,,
297,4,3,5,9b21799394d1,Control,Drug-use disorder,two,3,4,4,5,4,4,4,5,5,5,Man,White/Caucasian/European,High School,46,,,,1679527227514,1679528631976,23.4077,2nd,8,June,27,The article is about the condition of the feild in the superbowl in how players were slippling and falling all ovver the place effecting how both teams played. ,0,16,12,15,1.14996970987743,1.01967628565612,0.114996970987743,,,
298,5,5,5,9b21799394d1,Control,Synthetic opioids,two,3,4,4,5,4,4,4,5,5,5,Man,White/Caucasian/European,High School,46,,,,1679527227514,1679528631976,23.4077,2nd,8,June,27,The article is about the condition of the feild in the superbowl in how players were slippling and falling all ovver the place effecting how both teams played. ,0,16,12,15,19048.3436826235,14326.5453096145,0.238104296032794,,,
299,4,2,4,8d7b7142a6aa,Categorize,Drug overdoses,two,2,2,2,3,4,4,4,5,5,4,Man,African American/Black,High School,36,,,,1679527230132,1679528057217,13.78475,1,8,June,27,The field conditions during the Super Bowl were poor and made it hard on the players.,0,9,12,14,8432.84967914419,-6011.91744066048,0.105410620989302,,,
300,3,4,3,8d7b7142a6aa,Categorize,Drug-use disorder,two,2,2,2,3,4,4,4,5,5,4,Man,African American/Black,High School,36,,,,1679527230132,1679528057217,13.78475,1,8,June,27,The field conditions during the Super Bowl were poor and made it hard on the players.,0,9,12,14,2.20549715090584,1.62523542311661,0.220549715090584,,,
301,4,4,4,8d7b7142a6aa,Categorize,Synthetic opioids,two,2,2,2,3,4,4,4,5,5,4,Man,African American/Black,High School,36,,,,1679527230132,1679528057217,13.78475,1,8,June,27,The field conditions during the Super Bowl were poor and made it hard on the players.,0,9,12,14,7434.60601176316,4886.04709141274,0.0929325751470396,,,
302,5,3,5,dc74edebf942,Categorize,Drug overdoses,two,5,3,3,4,5,5,4,5,5,4,Woman,Hispanic/Latino,Undergraduate,47,,,,1679527233031,1679528968728,28.9282833333333,First,8,Emily,27,"Although team play was somewhat at fault, the 2023 Super Bowl turf caused a lot of concern.",0,15,14,14,8137.31106663166,6561.99896800826,0.101716388332896,,,
303,5,4,5,dc74edebf942,Categorize,Drug-use disorder,two,5,3,3,4,5,5,4,5,5,4,Woman,Hispanic/Latino,Undergraduate,47,,,,1679527233031,1679528968728,28.9282833333333,First,8,Emily,27,"Although team play was somewhat at fault, the 2023 Super Bowl turf caused a lot of concern.",0,15,14,14,2.71527340502411,2.1577592879257,0.271527340502411,,,
304,5,4,5,dc74edebf942,Categorize,Synthetic opioids,two,5,3,3,4,5,5,4,5,5,4,Woman,Hispanic/Latino,Undergraduate,47,,,,1679527233031,1679528968728,28.9282833333333,First,8,Emily,27,"Although team play was somewhat at fault, the 2023 Super Bowl turf caused a lot of concern.",0,15,14,14,6953.86190823422,93.4570637119141,0.0869232738529278,,,
305,3,4,5,d30a96b71109,Control,Drug overdoses,two,3,3,3,3,5,5,5,5,5,5,Woman,African American/Black,Undergraduate,75,,,,1679527241108,1679529454257,36.8858166666667,first,7,June,27,The field conditions for the 2023 super bowl were the worst they ever had been.  The conditions affected the play of both teams.  The losing team said they didn't blame their loss on the field conditions since both sides had to deal with the field's condition.,0,12,15,15,13538.9110731772,12430.1620227038,0.169236388414715,,,
306,3,4,5,d30a96b71109,Control,Drug-use disorder,two,3,3,3,3,5,5,5,5,5,5,Woman,African American/Black,Undergraduate,75,,,,1679527241108,1679529454257,36.8858166666667,first,7,June,27,The field conditions for the 2023 super bowl were the worst they ever had been.  The conditions affected the play of both teams.  The losing team said they didn't blame their loss on the field conditions since both sides had to deal with the field's condition.,0,12,15,15,3.44407652340673,2.96632481940145,0.344407652340673,,,
307,4,4,5,d30a96b71109,Control,Synthetic opioids,two,3,3,3,3,5,5,5,5,5,5,Woman,African American/Black,Undergraduate,75,,,,1679527241108,1679529454257,36.8858166666667,first,7,June,27,The field conditions for the 2023 super bowl were the worst they ever had been.  The conditions affected the play of both teams.  The losing team said they didn't blame their loss on the field conditions since both sides had to deal with the field's condition.,0,12,15,15,18883.9879518601,15872.081255771,0.236049849398251,,,
308,4,3,5,8117cca3bfad,Categorize,Drug overdoses,two,4,4,4,5,5,5,4,5,5,4,Woman,White/Caucasian/European,Undergraduate,49,,,,1679527242424,1679528542449,21.6670833333333,1,8,Emily,27,"The Eagles coach admitted defeat in the Superbowl, but still states poor field conditions were a factor.",0,17,14,14,6120.20473730217,-3143.96810349345,0.0765025592162772,,,
309,4,3,4,8117cca3bfad,Categorize,Drug-use disorder,two,4,4,4,5,5,5,4,5,5,4,Woman,White/Caucasian/European,Undergraduate,49,,,,1679527242424,1679528542449,21.6670833333333,1,8,Emily,27,"The Eagles coach admitted defeat in the Superbowl, but still states poor field conditions were a factor.",0,17,14,14,2.60006863303684,2.15400772803339,0.260006863303684,,,
310,4,4,4,8117cca3bfad,Categorize,Synthetic opioids,two,4,4,4,5,5,5,4,5,5,4,Woman,White/Caucasian/European,Undergraduate,49,,,,1679527242424,1679528542449,21.6670833333333,1,8,Emily,27,"The Eagles coach admitted defeat in the Superbowl, but still states poor field conditions were a factor.",0,17,14,14,11966.7006566702,9092.22773789171,0.149583758208378,,,
311,3,3,4,7d6b34343eff,Categorize,Drug overdoses,two,3,2,4,4,3,3,4,4,4,3,Woman,White/Caucasian/European,Undergraduate,26,,,,1679527244536,1679528021103,12.9427833333333,second,8,Emily,3,poor turf on the football field effected the players but the eagles won ,0,13,10,11,3940.90713006348,-239.600619195044,0.0492613391257935,,,
312,3,3,3,7d6b34343eff,Categorize,Drug-use disorder,two,3,2,4,4,3,3,4,4,4,3,Woman,White/Caucasian/European,Undergraduate,26,,,,1679527244536,1679528021103,12.9427833333333,second,8,Emily,3,poor turf on the football field effected the players but the eagles won ,0,13,10,11,3.52362684479311,3.01240970072239,0.352362684479311,,,
313,3,3,4,7d6b34343eff,Categorize,Synthetic opioids,two,3,2,4,4,3,3,4,4,4,3,Woman,White/Caucasian/European,Undergraduate,26,,,,1679527244536,1679528021103,12.9427833333333,second,8,Emily,3,poor turf on the football field effected the players but the eagles won ,0,13,10,11,22806.0264597972,19689.486611265,0.285075330747465,,,
314,3,3,3,90a79dd414df,Control,Synthetic opioids,two,1,1,1,1,4,4,4,5,4,4,Man,"Indian, Pakistani, Bangladeshi, or any other Asian",High School,21,,,,1679527251584,1679527967131,11.9257833333333,second,eight,Emily,3,"Nfl players, specifically members of the Eagles, found trouble with the turf playing field, as they believe it hampered their abilities, and are disappointed that the NFL would produce such a garbage product.",0,4,12,13,20843.0510800202,17971.2673860587,0.260538138500253,,,
